           <...>-3563    [004] d..4. 11905.227481: bpf_trace_printk: 24064 delay 4448
 test_proc_image-24235   [004] d..4. 11905.590217: bpf_trace_printk: 24232 delay 56023576

 test_proc_image-24232   [004] d..4. 11905.594209: bpf_trace_printk: 24229 delay 63986063

 test_proc_image-24229   [004] d..4. 11905.598204: bpf_trace_printk: 24234 delay 60011452

 test_proc_image-24234   [004] d..4. 11905.602201: bpf_trace_printk: 24231 delay 59977108

 test_proc_image-24231   [004] d..4. 11905.606218: bpf_trace_printk: 24230 delay 60008562

 test_proc_image-24230   [004] d..4. 11905.610214: bpf_trace_printk: 24237 delay 60020886

 test_proc_image-24237   [004] d..4. 11905.614216: bpf_trace_printk: 24240 delay 60023791

 test_proc_image-24240   [004] d..4. 11905.618206: bpf_trace_printk: 24242 delay 59997371

 test_proc_image-24242   [004] d..4. 11905.621944: bpf_trace_printk: 24243 delay 59733823

 test_proc_image-24243   [004] d..4. 11905.625951: bpf_trace_printk: 24241 delay 59740386

 test_proc_image-24241   [004] d..4. 11905.630381: bpf_trace_printk: 24239 delay 59757708

 test_proc_image-24239   [004] d..4. 11905.633932: bpf_trace_printk: 24238 delay 59717437

 test_proc_image-24238   [004] d..4. 11905.638283: bpf_trace_printk: 24233 delay 60058183

 test_proc_image-24233   [004] d..4. 11905.641882: bpf_trace_printk: 24244 delay 59675437

 test_proc_image-24244   [004] d..4. 11905.645936: bpf_trace_printk: 24236 delay 59743933

 test_proc_image-24236   [004] d..4. 11905.650078: bpf_trace_printk: 24235 delay 59863345

 test_proc_image-24235   [004] d..4. 11905.653997: bpf_trace_printk: 24232 delay 59783763

 test_proc_image-24232   [004] d..4. 11905.657964: bpf_trace_printk: 24229 delay 59758916

 test_proc_image-24229   [004] d..4. 11905.661936: bpf_trace_printk: 24234 delay 59736603

 test_proc_image-24234   [004] d..4. 11905.665949: bpf_trace_printk: 24231 delay 59732052

 test_proc_image-24231   [004] d..4. 11905.670231: bpf_trace_printk: 24230 delay 60018235

 test_proc_image-24230   [004] d..4. 11905.674225: bpf_trace_printk: 24237 delay 60010571

 test_proc_image-24237   [004] d..4. 11905.678217: bpf_trace_printk: 24240 delay 60013016

 test_proc_image-24240   [004] d..4. 11905.682385: bpf_trace_printk: 24242 delay 60442749

 test_proc_image-24242   [004] d..4. 11905.686239: bpf_trace_printk: 24243 delay 60285249

 test_proc_image-24243   [004] d..4. 11905.690217: bpf_trace_printk: 24241 delay 60260964

 test_proc_image-24241   [004] d..4. 11905.694205: bpf_trace_printk: 24239 delay 60276062

 test_proc_image-24239   [004] d..4. 11905.698237: bpf_trace_printk: 24233 delay 56355465

 test_proc_image-24233   [004] d..4. 11905.702215: bpf_trace_printk: 24244 delay 56281613

 test_proc_image-24244   [004] d..4. 11905.706211: bpf_trace_printk: 24238 delay 67951984

 test_proc_image-24238   [004] d..4. 11905.710214: bpf_trace_printk: 24235 delay 56225849

 test_proc_image-24235   [004] d..4. 11905.714226: bpf_trace_printk: 24236 delay 64147146

 test_proc_image-24236   [004] d..4. 11905.718221: bpf_trace_printk: 24232 delay 60262215

 test_proc_image-24232   [004] d..4. 11905.722216: bpf_trace_printk: 24229 delay 60282334

 test_proc_image-24229   [004] d..4. 11905.726215: bpf_trace_printk: 24234 delay 60273030

 test_proc_image-24234   [004] d..4. 11905.730218: bpf_trace_printk: 24231 delay 59991245

 test_proc_image-24231   [004] d..4. 11905.734205: bpf_trace_printk: 24230 delay 59984451

 test_proc_image-24230   [004] d..4. 11905.738219: bpf_trace_printk: 24237 delay 60004389

 test_proc_image-24237   [004] d..4. 11905.742201: bpf_trace_printk: 24242 delay 55969615

 test_proc_image-24242   [004] d..4. 11905.746248: bpf_trace_printk: 24240 delay 63862909

 test_proc_image-24240   [004] d..4. 11905.750226: bpf_trace_printk: 24243 delay 60011803

 test_proc_image-24243   [004] d..4. 11905.754222: bpf_trace_printk: 24241 delay 60016932

 test_proc_image-24241   [004] d..4. 11905.758174: bpf_trace_printk: 24233 delay 55961119

 test_proc_image-24233   [004] d..4. 11905.762241: bpf_trace_printk: 24239 delay 64005460

 test_proc_image-24239   [004] d..4. 11905.766221: bpf_trace_printk: 24244 delay 60011623

 test_proc_image-24244   [004] d..4. 11905.769925: bpf_trace_printk: 24238 delay 59712364

 test_proc_image-24238   [004] d..4. 11905.774225: bpf_trace_printk: 24235 delay 60003287

 test_proc_image-24235   [004] d..4. 11905.778231: bpf_trace_printk: 24236 delay 60010021

 test_proc_image-24236   [004] d..4. 11905.782230: bpf_trace_printk: 24232 delay 60014739

 test_proc_image-24232   [004] d..4. 11905.786227: bpf_trace_printk: 24229 delay 60013265

 test_proc_image-24229   [004] d..4. 11905.790230: bpf_trace_printk: 24234 delay 60013546

 test_proc_image-24234   [004] d..4. 11905.794231: bpf_trace_printk: 24231 delay 60026642

 test_proc_image-24231   [004] d..4. 11905.798235: bpf_trace_printk: 24230 delay 60016943

 test_proc_image-24230   [004] d..4. 11905.802233: bpf_trace_printk: 24237 delay 60033525

